Date,Close,Up,Down,Average Up,Average Down,RS,RSI,Smooth RSI
2023-11-20,146.74,1.56,0,2.09,1.62,1.3,56.44,64.0786
2023-11-13,145.18,1.62,0,2.48,1.62,1.54,60.55,61.26
2023-11-06,143.56,4.96,0,2.52,1.62,1.56,60.93,58.6105
2023-10-30,138.6,10.86,0,2.19,1.93,1.14,53.17,56.4542
2023-10-23,127.74,2.57,0,1.79,1.93,0.93,48.17,54.9578
2023-10-16,125.17,0,4.62,1.62,1.97,0.82,45.18,54.3689
2023-10-09,129.79,1.83,0,1.69,1.66,1.02,50.46,54.8253
2023-10-02,127.96,0.84,0,1.82,1.66,1.1,52.36,56.1714
2023-09-25,127.12,0,2,1.9,1.66,1.15,53.45,58.7574
2023-09-18,129.12,0,11.27,1.9,1.58,1.21,54.66,61.9699
2023-09-11,140.39,2.16,0,2.18,0.83,2.63,72.46,65.4999
2023-09-04,138.23,0.11,0,2.29,0.83,2.77,73.46,69.0365
2023-08-28,138.12,4.86,0,2.69,0.83,3.24,76.42,72.3836
2023-08-21,133.26,0.04,0,2.67,0.83,3.22,76.31,75.3327
2023-08-14,133.22,0,5.19,2.68,0.83,3.23,76.38,77.86
2023-08-07,138.41,0,1.16,2.68,0.58,4.59,82.12,79.9682
2023-07-31,139.57,7.36,0,2.98,0.51,5.88,85.47,81.7276
2023-07-24,132.21,2.21,0,2.52,0.51,4.97,83.26,83.1027
2023-07-17,130,0,4.68,2.37,0.59,4.03,80.11,84.0229
2023-07-10,134.68,4.9,0,2.71,0.28,9.83,90.77,84.4301
2023-07-03,129.78,0,0.58,2.39,0.33,7.22,87.83,84.2097
2023-06-26,130.36,1.03,0,2.93,0.29,10.05,90.95,83.2888
2023-06-19,129.33,3.84,0,2.87,0.57,5.03,83.41,81.6125
2023-06-12,125.49,2.06,0,2.7,0.57,4.74,82.58,79.3307
2023-06-05,123.43,0,0.82,2.57,0.82,3.14,75.85,76.663
2023-05-29,124.25,4.14,0,2.57,0.79,3.25,76.47,73.8746
2023-05-22,120.11,3.86,0,2.29,1.17,1.95,66.09,71.2427
2023-05-15,116.25,5.99,0,2.11,1.17,1.8,64.22,68.9623
2023-05-08,110.26,4.6,0,2.04,1.17,1.74,63.48,67.2182
2023-05-01,105.66,0.21,0,1.74,1.23,1.41,58.47,65.9772
2023-04-24,105.45,0,1.51,2.52,1.23,2.05,67.19,65.0802
2023-04-17,106.96,4.45,0,2.66,1.13,2.35,70.17,64.336
2023-04-10,102.51,0.45,0,2.37,1.22,1.95,66.06,63.5478
2023-04-03,102.06,0,1.23,2.34,1.39,1.68,62.71,62.6312
2023-03-27,103.29,5.16,0,2.34,1.39,1.68,62.71,61.6526
2023-03-20,98.13,0,0.82,1.99,1.39,1.43,58.91,60.809
2023-03-13,98.95,8.22,0,1.99,1.33,1.49,59.88,60.2771
2023-03-06,90.73,0,4.17,1.44,1.33,1.08,51.97,60.2575
2023-02-27,94.9,1.4,0,1.44,1.06,1.37,57.74,60.866
2023-02-20,93.5,0,3.7,1.35,1.06,1.28,56.11,61.7494
2023-02-13,97.2,0,0.41,1.35,0.81,1.67,62.51,62.5101
2023-02-06,97.61,0,5.78,1.35,0.78,1.73,63.31,62.5909
2023-01-30,103.39,1.15,0,1.35,0.4,3.4,77.27,61.221
2023-01-23,102.24,4.99,0,1.27,0.4,3.21,76.23,58.6728
2023-01-16,97.25,0,0.87,0.94,0.4,2.37,70.32,54.3082
2023-01-09,98.12,12.04,0,0.94,0.34,2.77,73.5,48.8774
