x,y
2.16,22.76
-2.20,22.76
2.78,38.20
-2.82,38.20
2.43,29.13
-2.47,29.13
2.68,35.52
-2.72,35.52
2.42,28.70
-2.46,28.70
1.57,11.70
-1.61,11.70
1.97,18.78
-2.01,18.78
1.63,12.67
-1.67,12.67
2.41,28.41
-2.45,28.41
2.56,32.27
-2.60,32.27
2.22,24.17
-2.26,24.17
2.98,44.14
-3.02,44.14
2.28,25.35
-2.32,25.35
1.55,11.26
-1.59,11.26
1.77,14.94
-1.81,14.94
2.36,27.37
-2.40,27.37
1.66,13.08
-1.70,13.08
1.97,18.84
-2.01,18.84
2.15,22.52
-2.19,22.52
1.61,12.22
-1.65,12.22
2.01,19.55
-2.05,19.55
3.17,49.96
-3.21,49.96
2.91,41.84
-2.95,41.84
2.76,37.62
-2.80,37.62
2.91,41.92
-2.95,41.92
2.33,26.56
-2.37,26.56
1.48,10.27
-1.52,10.27
1.78,15.11
-1.82,15.11
1.86,16.60
-1.90,16.60
2.86,40.39
-2.90,40.39
1.93,18.10
-1.97,18.10
2.41,28.48
-2.45,28.48
2.65,34.69
-2.69,34.69
2.01,19.64
-2.05,19.64
3.12,48.16
-3.16,48.16
2.85,40.11
-2.89,40.11
3.01,44.97
-3.05,44.97
2.72,36.63
-2.76,36.63
2.58,32.69
-2.62,32.69
1.63,12.53
-1.67,12.53
2.99,44.42
-3.03,44.42
3.02,45.06
-3.06,45.06
1.53,10.94
-1.57,10.94
2.37,27.45
-2.41,27.45
2.86,40.47
-2.90,40.47
2.13,22.12
-2.17,22.12
2.63,34.08
-2.67,34.08
2.65,34.69
-2.69,34.69
2.84,39.91
-2.88,39.91
1.72,14.12
-1.76,14.12
2.55,32.15
-2.59,32.15
2.48,30.18
-2.52,30.18
1.82,15.89
-1.86,15.89
2.98,44.07
-3.02,44.07
1.64,12.80
-1.68,12.80
2.23,24.42
-2.27,24.42
2.37,27.65
-2.41,27.65
2.67,35.14
-2.71,35.14
2.16,22.81
-2.20,22.81
2.92,42.27
-2.96,42.27
1.86,16.76
-1.90,16.76
2.71,36.31
-2.75,36.31
2.50,30.66
-2.54,30.66
2.46,29.70
-2.50,29.70
2.81,39.14
-2.85,39.14
2.24,24.56
-2.28,24.56
2.91,42.02
-2.95,42.02
1.75,14.69
-1.79,14.69
1.72,14.09
-1.76,14.09
2.94,42.80
-2.98,42.80
2.03,19.99
-2.07,19.99
1.90,17.47
-1.94,17.47
2.82,39.22
-2.86,39.22
1.67,13.30
-1.71,13.30
2.39,28.04
-2.43,28.04
2.42,28.73
-2.46,28.73
1.76,14.81
-1.80,14.81
2.97,43.65
-3.01,43.65
3.05,46.00
-3.09,46.00
2.66,34.95
-2.70,34.95
2.09,21.32
-2.13,21.32
1.80,15.48
-1.84,15.48
3.11,47.91
-3.15,47.91
3.06,46.46
-3.10,46.46
2.87,40.73
-2.91,40.73
2.69,35.78
-2.73,35.78
1.81,15.77
-1.85,15.77
1.84,16.34
-1.88,16.34
3.02,45.33
-3.06,45.33
1.85,16.54
-1.89,16.54
2.63,33.99
-2.67,33.99
2.36,27.42
-2.40,27.42
2.73,36.78
-2.77,36.78
2.48,30.28
-2.52,30.28
2.35,26.97
-2.39,26.97
3.16,49.60
-3.20,49.60
2.21,23.91
-2.25,23.91
3.10,47.79
-3.14,47.79
2.29,25.76
-2.33,25.76
1.56,11.48
-1.60,11.48
