x,y
2.80,38.83
-2.84,38.83
3.00,44.69
-3.04,44.69
2.51,31.07
-2.55,31.07
2.82,39.38
-2.86,39.38
2.15,22.44
-2.19,22.44
3.16,49.70
-3.20,49.70
3.04,45.92
-3.08,45.92
2.01,19.70
-2.05,19.70
1.74,14.55
-1.78,14.55
1.66,13.08
-1.70,13.08
2.39,28.07
-2.43,28.07
2.88,41.11
-2.92,41.11
1.70,13.83
-1.74,13.83
2.75,37.45
-2.79,37.45
2.52,31.25
-2.56,31.25
3.14,49.04
-3.18,49.04
1.96,18.59
-2.00,18.59
1.97,18.77
-2.01,18.77
3.09,47.24
-3.13,47.24
2.29,25.69
-2.33,25.69
1.59,11.95
-1.63,11.95
3.12,48.32
-3.16,48.32
2.48,30.32
-2.52,30.32
2.84,39.78
-2.88,39.78
3.11,47.96
-3.15,47.96
2.18,23.14
-2.22,23.14
2.36,27.30
-2.40,27.30
1.57,11.59
-1.61,11.59
1.56,11.47
-1.60,11.47
3.16,49.46
-3.20,49.46
2.72,36.49
-2.76,36.49
2.22,23.99
-2.26,23.99
2.24,24.60
-2.28,24.60
2.77,37.91
-2.81,37.91
2.90,41.63
-2.94,41.63
1.69,13.59
-1.73,13.59
3.12,48.17
-3.16,48.17
1.54,11.19
-1.58,11.19
3.04,45.71
-3.08,45.71
3.01,44.96
-3.05,44.96
1.97,18.71
-2.01,18.71
2.53,31.50
-2.57,31.50
2.26,24.97
-2.30,24.97
2.34,26.93
-2.38,26.93
2.46,29.82
-2.50,29.82
2.44,29.26
-2.48,29.26
1.74,14.53
-1.78,14.53
2.51,31.10
-2.55,31.10
1.56,11.44
-1.60,11.44
1.72,14.19
-1.76,14.19
2.27,25.17
-2.31,25.17
2.89,41.27
-2.93,41.27
2.88,41.13
-2.92,41.13
1.83,16.12
-1.87,16.12
1.73,14.28
-1.77,14.28
2.71,36.38
-2.75,36.38
2.80,38.87
-2.84,38.87
2.67,35.17
-2.71,35.17
1.75,14.68
-1.79,14.68
2.48,30.26
-2.52,30.26
2.46,29.81
-2.50,29.81
2.83,39.65
-2.87,39.65
2.88,40.96
-2.92,40.96
1.93,18.07
-1.97,18.07
3.15,49.39
-3.19,49.39
2.66,34.91
-2.70,34.91
2.31,26.17
-2.35,26.17
2.57,32.57
-2.61,32.57
2.50,30.73
-2.54,30.73
2.75,37.47
-2.79,37.47
2.48,30.23
-2.52,30.23
1.62,12.38
-1.66,12.38
1.85,16.45
-1.89,16.45
2.31,26.08
-2.35,26.08
2.34,26.87
-2.38,26.87
3.17,49.99
-3.21,49.99
1.79,15.34
-1.83,15.34
3.02,45.26
-3.06,45.26
2.75,37.28
-2.79,37.28
1.98,19.08
-2.02,19.08
1.97,18.82
-2.01,18.82
3.06,46.28
-3.10,46.28
2.71,36.25
-2.75,36.25
1.96,18.62
-2.00,18.62
2.18,23.17
-2.22,23.17
3.09,47.25
-3.13,47.25
2.50,30.85
-2.54,30.85
2.69,35.62
-2.73,35.62
1.48,10.19
-1.52,10.19
1.82,15.85
-1.86,15.85
2.89,41.35
-2.93,41.35
2.80,38.70
-2.84,38.70
2.94,42.68
-2.98,42.68
3.09,47.22
-3.13,47.22
2.88,41.13
-2.92,41.13
1.57,11.66
-1.61,11.66
1.49,10.41
-1.53,10.41
2.99,44.17
-3.03,44.17
2.65,34.54
-2.69,34.54
1.98,19.00
-2.02,19.00
