x,y
2.16,43.78
-2.20,34.10
2.78,56.53
-2.82,44.29
2.43,44.04
-2.47,44.42
2.68,42.34
-2.72,48.36
2.42,52.29
-2.46,42.98
1.57,25.85
-1.61,20.11
1.97,32.54
-2.01,28.05
1.63,36.14
-1.67,20.86
2.41,43.90
-2.45,41.12
2.56,47.99
-2.60,40.82
2.22,40.86
-2.26,36.86
2.98,58.44
-3.02,58.76
2.28,43.09
-2.32,30.78
1.55,19.77
-1.59,22.37
1.77,25.13
-1.81,23.04
2.36,37.72
-2.40,41.08
1.66,23.07
-1.70,29.50
1.97,36.97
-2.01,34.59
2.15,34.48
-2.19,41.02
1.61,32.21
-1.65,20.04
2.01,39.60
-2.05,39.58
3.17,60.57
-3.21,66.19
2.91,47.31
-2.95,55.98
2.76,52.56
-2.80,58.16
2.91,55.69
-2.95,66.17
2.33,41.32
-2.37,36.51
1.48,31.26
-1.52,27.95
1.78,30.30
-1.82,38.74
1.86,25.48
-1.90,30.47
2.86,52.00
-2.90,51.62
1.93,27.74
-1.97,30.19
2.41,48.92
-2.45,34.62
2.65,56.65
-2.69,55.18
2.01,40.63
-2.05,26.10
3.12,69.72
-3.16,69.00
2.85,60.77
-2.89,46.53
3.01,67.02
-3.05,56.46
2.72,57.02
-2.76,51.02
2.58,57.43
-2.62,47.47
1.63,35.85
-1.67,25.30
2.99,54.29
-3.03,59.10
3.02,61.27
-3.06,64.82
1.53,16.58
-1.57,16.11
2.37,47.25
-2.41,50.76
2.86,47.03
-2.90,61.30
2.13,34.46
-2.17,35.57
2.63,52.17
-2.67,41.37
2.65,53.39
-2.69,55.63
2.84,60.41
-2.88,50.70
1.72,20.38
-1.76,31.41
2.55,43.88
-2.59,56.33
2.48,48.75
-2.52,54.09
1.82,22.31
-1.86,35.22
2.98,51.82
-3.02,61.00
1.64,29.05
-1.68,37.64
2.23,41.96
-2.27,42.32
2.37,42.87
-2.41,40.27
2.67,55.32
-2.71,45.86
2.16,45.74
-2.20,39.19
2.92,64.85
-2.96,62.37
1.86,35.44
-1.90,37.99
2.71,45.89
-2.75,44.32
2.50,40.31
-2.54,45.29
2.46,35.58
-2.50,40.90
2.81,56.81
-2.85,54.80
2.24,36.05
-2.28,39.47
2.91,62.76
-2.95,64.63
1.75,35.63
-1.79,30.54
1.72,21.83
-1.76,30.44
2.94,53.49
-2.98,53.72
2.03,38.02
-2.07,31.32
1.90,33.45
-1.94,34.81
2.82,60.16
-2.86,54.34
1.67,27.21
-1.71,37.66
2.39,52.51
-2.43,50.40
2.42,35.93
-2.46,45.95
1.76,22.55
-1.80,24.83
2.97,64.18
-3.01,63.68
3.05,52.47
-3.09,62.62
2.66,54.44
-2.70,50.46
2.09,29.10
-2.13,41.75
1.80,36.97
-1.84,32.72
3.11,54.42
-3.15,66.76
3.06,53.65
-3.10,58.78
2.87,64.03
-2.91,55.25
2.69,57.07
-2.73,57.14
1.81,37.94
-1.85,28.08
1.84,28.78
-1.88,32.72
3.02,59.53
-3.06,51.29
1.85,39.84
-1.89,33.64
2.63,47.08
-2.67,56.90
2.36,51.19
-2.40,38.85
2.73,55.12
-2.77,58.50
2.48,53.75
-2.52,47.12
2.35,48.92
-2.39,44.49
3.16,71.93
-3.20,65.57
2.21,30.06
-2.25,32.06
3.10,70.21
-3.14,69.81
2.29,46.75
-2.33,31.49
1.56,20.11
-1.60,28.65
